customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,churn_flag,tenure_group,monthly_charge_band,estimated_CLV
7590-VHVEG,Female,0,Yes,No,1,No,"No phone service",DSL,No,Yes,No,No,No,No,Month-to-month,Yes,"Electronic check",29.85,29.85,No,0,"0-12 Months","Low charge",29.85
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,"One year",No,"Mailed check",56.95,1889.50,No,0,"25-48 Months","Medium charge",1936.30
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Mailed check",53.85,108.15,Yes,1,"0-12 Months","Medium charge",107.70
7795-CFOCW,Male,0,No,No,45,No,"No phone service",DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Bank transfer (automatic)",42.30,1840.75,No,0,"25-48 Months","Medium charge",1903.50
9237-HQITU,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",70.70,151.65,Yes,1,"0-12 Months","High charge",141.40
9305-CDSKC,Female,0,No,No,8,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.65,820.50,Yes,1,"0-12 Months","High charge",797.20
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",89.10,1949.40,No,0,"13-24 Months","High charge",1960.20
6713-OKOMC,Female,0,No,No,10,No,"No phone service",DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",29.75,301.90,No,0,"0-12 Months","Low charge",297.50
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",104.80,3046.05,Yes,1,"25-48 Months","High charge",2934.40
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,"One year",No,"Bank transfer (automatic)",56.15,3487.95,No,0,"49+ Months","Medium charge",3481.30
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Mailed check",49.95,587.45,No,0,"13-24 Months","Medium charge",649.35
7469-LKBCI,Male,0,No,No,16,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",18.95,326.80,No,0,"13-24 Months","Low charge",303.20
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",No,"Credit card (automatic)",100.35,5681.10,No,0,"49+ Months","High charge",5820.30
0280-XJGEX,Male,0,No,No,49,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.70,5036.30,Yes,1,"49+ Months","High charge",5081.30
5129-JLPIS,Male,0,No,No,25,Yes,No,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",105.50,2686.05,No,0,"25-48 Months","High charge",2637.50
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Credit card (automatic)",113.25,7895.15,No,0,"49+ Months","High charge",7814.25
8191-XWSZG,Female,0,No,No,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.65,1022.95,No,0,"49+ Months","Low charge",1073.80
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,"Fiber optic",Yes,No,Yes,No,Yes,Yes,"Two year",No,"Bank transfer (automatic)",106.70,7382.25,No,0,"49+ Months","High charge",7575.70
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,"Credit card (automatic)",55.20,528.35,Yes,1,"0-12 Months","Medium charge",552.00
4183-MYFRB,Female,0,No,No,21,Yes,No,"Fiber optic",No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",90.05,1862.90,No,0,"13-24 Months","High charge",1891.05
8779-QRDMV,Male,1,No,No,1,No,"No phone service",DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",39.65,39.65,Yes,1,"0-12 Months","Medium charge",39.65
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",19.80,202.25,No,0,"0-12 Months","Low charge",237.60
1066-JKSGK,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.15,20.15,Yes,1,"0-12 Months","Low charge",20.15
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,"Two year",Yes,"Credit card (automatic)",59.90,3505.10,No,0,"49+ Months","Medium charge",3474.20
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,"Credit card (automatic)",59.60,2970.30,No,0,"49+ Months","Medium charge",2920.40
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",55.30,1530.60,No,0,"25-48 Months","Medium charge",1659.00
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.35,4749.15,Yes,1,"25-48 Months","High charge",4669.45
8665-UTDHZ,Male,0,Yes,Yes,1,No,"No phone service",DSL,No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",30.20,30.20,Yes,1,"0-12 Months","Low charge",30.20
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",90.25,6369.45,No,0,"49+ Months","High charge",6498.00
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,"Mailed check",64.70,1093.10,Yes,1,"13-24 Months","Medium charge",1099.90
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",96.35,6766.95,No,0,"49+ Months","High charge",6840.85
4929-XIHVW,Male,1,Yes,No,2,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",95.50,181.65,No,0,"0-12 Months","High charge",191.00
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,"One year",No,"Mailed check",66.15,1874.45,No,0,"25-48 Months","Medium charge",1786.05
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Bank transfer (automatic)",20.20,20.20,No,0,"0-12 Months","Low charge",20.20
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",45.25,45.25,No,0,"0-12 Months","Medium charge",45.25
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"Two year",No,"Bank transfer (automatic)",99.90,7251.70,No,0,"49+ Months","High charge",7192.80
6047-YHPVI,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",69.70,316.90,Yes,1,"0-12 Months","Medium charge",348.50
6572-ADKRS,Female,0,No,No,46,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Credit card (automatic)",74.80,3548.30,No,0,"25-48 Months","High charge",3440.80
5380-WJKOV,Male,0,No,No,34,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",106.35,3549.25,Yes,1,"25-48 Months","High charge",3615.90
8168-UQWWF,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",97.85,1105.40,Yes,1,"0-12 Months","High charge",1076.35
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,"One year",No,"Mailed check",49.55,475.70,No,0,"0-12 Months","Medium charge",495.50
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,"Two year",Yes,"Credit card (automatic)",69.20,4872.35,No,0,"49+ Months","Medium charge",4844.00
